URL,SIZE (BYTES),NO OF OUTLINKS,CONTENT-TYPE
https://www.dailymail.co.uk/news/article-6720645/Acid-tongued-Karl-Lagerfelds-shocking-remarks.html,554209,970,text/html
https://www.dailymail.co.uk/news/article-6717419/Jussie-Smollett-appeared-play-biracial-gay-baseball-star-similarly-attacked.html,544629,971,text/html
https://www.dailymail.co.uk/news/article-6727071/Kansas-man-33-kidnapped-sexually-abused-13yo.html,525531,964,text/html
https://www.dailymail.co.uk/news/article-6721367/Le-Pen-populist-allies-set-win-big-European-Parliament-elections-poll-suggests.html,529420,966,text/html
https://www.dailymail.co.uk/news/article-6717905/How-projects-6-cities-working-end-poverty-plagued-African-American-communities-generations.html,213433,195,text/html
https://www.dailymail.co.uk/news/article-6725939/Fox-stands-Jussie-Smollett-says-not-written-Empire.html,561307,972,text/html
https://www.dailymail.co.uk/news/article-6720367/Shamima-Begum-expect-spoken-returns-UK-police-chief.html,589842,983,text/html
https://www.dailymail.co.uk/news/article-6726677/Convenience-store-El-Chapos-home-state-cashes-jailed-drug-lords-notoriety-souvenirs.html,529749,968,text/html
https://www.dailymail.co.uk/news/article-6722863/The-Latest-2-brothers-meet-police-Smollett-case.html,571133,976,text/html
https://www.dailymail.co.uk/news/article-6716167/Jihadi-bride-east-London-Shamima-Begum-family-lawyer-says-want-baby-son-home.html,601277,992,text/html
https://www.dailymail.co.uk/news/article-6721275/My-life-Lee-Radziwill-Daughter-law-RHONY-star-Carole-reveals-bond.html,552960,972,text/html
https://www.dailymail.co.uk/news/mostread/index.html?channel=news,543533,647,text/html
https://www.dailymail.co.uk/news/article-6724611/MBE-awarded-Park-Shop-tycoon-59-caught-stumbling-drunk-Mini-Cooper.html,527183,964,text/html
https://www.dailymail.co.uk/news/article-6711211/Paul-Hollywoods-estranged-wife-called-new-lover-wh-sl-t-Marks-Spencer-row.html,529920,969,text/html
https://www.dailymail.co.uk/news/article-6725413/amp/EU-countries-copyright-reforms-aimed-Google-Facebook.html,276403,765,text/html
https://www.dailymail.co.uk/news/article-6724895/amp/Furious-mother-42-slams-NHS-medic-brands-four-year-old-son-OVERWEIGHT.html,282370,764,text/html
https://www.dailymail.co.uk/news/article-6727323/Shamima-Begum-case-questions-answered-including-lose-baby.html,525277,963,text/html
https://www.dailymail.co.uk/news/article-6727081/Tucker-Carlson-berates-Dutch-historian-accused-taking-dirty-money.html,527436,962,text/html
https://www.dailymail.co.uk/news/article-6722005/Amazon-delivery-driver-walked-pedigree-miniature-Schnauzer.html,526361,964,text/html
https://www.dailymail.co.uk/news/article-6724815/Family-British-tourist-20-disappeared-NSW-beach-say-living-nightmare.html,544721,974,text/html
https://www.dailymail.co.uk/news/article-6613675/Average-weight-international-rugby-union-players-increases-25-16st-8lb-1950s.html,520270,961,text/html
https://www.dailymail.co.uk/news/article-6720817/Harvey-Weinsteins-criminal-trial-hes-accused-raping-two-women-DELAYED.html,539001,968,text/html
https://www.dailymail.co.uk/news/article-6724503/Britain-losing-world-leader-innovation-says-Ex-Google-boss.html,529927,966,text/html
https://www.dailymail.co.uk/news/article-6725391/Shocking-moment-trooper-orders-man-car-gunpoint-traffic-stop-Delaware.html,536348,968,text/html
https://www.dailymail.co.uk/news/article-6706553/Trump-officially-obese-medical-exam-shows-gained-four-pounds-year.html,552511,976,text/html
https://www.dailymail.co.uk/news/article-6725301/Pensioner-court-accused-driving-car-pram-baby-Swansea.html,519471,960,text/html
https://www.dailymail.co.uk/news/article-6727143/Senior-CNN-analyst-warns-Roger-Stone-dandy-raped-prison.html,565163,978,text/html
https://www.dailymail.co.uk/news/article-6723191/BBC-Springwatchs-CHRIS-PACKHAM-tells-Britons-tackle-litter-MILLIONS-UK-animals-die-year.html,530093,966,text/html
https://www.dailymail.co.uk/news/article-6725655/Patrick-Frazee-knocked-Kelsey-Berreths-teeth-murder-toddler-sat-playpen.html,556941,967,text/html
https://www.dailymail.co.uk/news/article-6722603/Gulf-War-hero-John-Nichol-says-farewall-Tornado-jet-retired-45-years.html,174646,166,text/html
https://www.dailymail.co.uk/news/article-6718477/amp/Bohoo-ASOS-retailers-MPs-call-cut-waste-amid-new-1p-fashion-tax-demand.html,278339,763,text/html
https://www.dailymail.co.uk/news/article-6726905/Independent-Group-rebels-meet-Lib-Dems-weekly-talks-Brexit.html,536436,966,text/html
https://www.dailymail.co.uk/news/article-6715395/Smollett-developments-leave-baffled-outraged.html,546531,967,text/html
https://www.dailymail.co.uk/news/article-6726879/Job-salaries-surged-year-best-paying-work-isnt-Sydney-Melbourne.html,529204,966,text/html
https://www.dailymail.co.uk/news/article-6724963/Trump-jokes-Crazy-Bernie-Sanders-77-year-old-socialist-launches-campaign-unseat-him.html,574997,977,text/html
https://www.dailymail.co.uk/news/article-6726157/Michael-Cohen-gets-REPRIEVE-doesnt-report-prison-May.html,548893,969,text/html
https://www.dailymail.co.uk/news/nhs/index.html,671901,1093,text/html
https://www.dailymail.co.uk/news/article-6724597/Neighbour-claims-heard-domestic-abuse-Alesha-MacPhails-father-girlfriend.html,535176,969,text/html
